InputX,Mode,Threads,ExecutionTime,Result,WastedWorkPercent
-50.000000,Sequential,1,0.001000,3.912023,0
-50.000000,Speculative,2,2.846000,3.912023,50.000000
-40.000000,Sequential,1,0.001000,3.688879,0
-40.000000,Speculative,2,2.828000,3.688879,50.000000
-30.000000,Sequential,1,0.001000,3.401197,0
-30.000000,Speculative,2,2.769000,3.401197,50.000000
-20.000000,Sequential,1,0.000000,2.995732,0
-20.000000,Speculative,2,2.753000,2.995732,50.000000
-10.000000,Sequential,1,0.001000,2.302585,0
-10.000000,Speculative,2,2.775000,2.302585,50.000000
0.000000,Sequential,1,0.002000,-inf,0
0.000000,Speculative,2,2.781000,-inf,50.000000
10.000000,Sequential,1,0.000000,3.162278,0
10.000000,Speculative,2,2.831000,3.162278,50.000000
20.000000,Sequential,1,0.000000,4.472136,0
20.000000,Speculative,2,2.818000,4.472136,50.000000
30.000000,Sequential,1,0.000000,5.477226,0
30.000000,Speculative,2,2.774000,5.477226,50.000000
40.000000,Sequential,1,0.000000,6.324555,0
40.000000,Speculative,2,2.707000,6.324555,50.000000
